Caption / Title,Item ID,Digital Image ID,Digital Image Source ID,Series ID,Series Title,Coverage Temporal,Coverage Place,Creating Agency ID,Creating Agency Title
Copy for cablegram from Ernest G Scriven Under Secretary Department of Agriculture and Stock to be sent to the Military Secretary India regarding offer from Beco Fruit Canning Company for 50 tons of marmalade and jam 9 August 1917,ITM1653882,DR22194,https://www.archivessearch.qld.gov.au/api/download_file/DR22194 ,S5402,Inwards and General Correspondence,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Copy of a letter to the Sub Inspector of Police City from Acting Sergeant Thomas Claire about the Government Printer allowing Captain Stephens to enter the Government Printing Office 28 November 1917,ITM2125357,DR26745,https://www.archivessearch.qld.gov.au/api/download_file/DR26745 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Copy of a letter to the Sub Inspector of Police Roma Street from Sergeant Brown about the relief roster of officers stationed at the Government Printing Office 3 December 1917,ITM2125358,DR26746,https://www.archivessearch.qld.gov.au/api/download_file/DR26746 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Copy of letter from the Prime Ministers Office to the Premier of Queensland requesting officers to work in the Branch of the Department of Defence in Queensland 3 June 1915,ITM2111733,DR26412,https://www.archivessearch.qld.gov.au/api/download_file/DR26412 ,S16455,General Correspondence,1910 to 1919,Queensland,A2723,Public Works Department II
Copy of photo of First World War troopers in the 2nd Light Horse Regiment from Greenmount Nobby and Pilton Left to right: Tom Lipp Bob Armstrong Gower Davis Stuart Forsyth Peter Campbell Bob McLennan Jack Lemon March 1915,ITM2105333,DR26077,https://www.archivessearch.qld.gov.au/api/download_file/DR26077 ,S189,Photographic Proofs and Prints of Queensland Industry Services Views People and Events colour and black and white,1910 to 1919,Queensland,A2024,Premier and Chief Secretarys Department State Public Relations Bureau Photographic Unit
Correspondence about a grievance in regards to Homestead Honour Board at Homestead School 1 October 1917 to 9 May 1918,ITM2161258,DR27288,https://www.archivessearch.qld.gov.au/api/download_file/DR27288 ,S12607,School Files Correspondence for State Schools,1910 to 1919,Charters Towers Region,A32,Public Instruction Department
Correspondence about a proposed and then abandoned parade of 1000 women outside Albion Park Racecourse 13 June 1917 to 20 June 1917,ITM2041160,DR25145,https://www.archivessearch.qld.gov.au/api/download_file/DR25154 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence about a request for discharge for Private H.C. Keid  27 November 1917 to 21 December 1917,ITM2187876,DR27329,https://www.archivessearch.qld.gov.au/api/download_file/DR27329 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about advertising and arrangements for the Recruiting Train 9 August 1915 to 17 August 1915,ITM2041776,DR25154,https://www.archivessearch.qld.gov.au/api/download_file/DR25154 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence about an allegation of disloyalty to the Empire by Mr Buchanan against Mr. Beutel a Justice of the Peace and of German descent 13 January 1915 to 5 November 1915,ITM2148275,DR26985,https://www.archivessearch.qld.gov.au/api/download_file/DR26985 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about an application for a refund from the Immigration Department initiated by James Solomon 18 June 1914 to 15 December 1915,ITM2199705,DR27369,https://www.archivessearch.qld.gov.au/api/download_file/DR27369 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about and proposed plans of an Honour Board to commemorate the members of the police force who served in the war 30 March 1920 to 2 June 1921,ITM2139935,DR26927,https://www.archivessearch.qld.gov.au/api/download_file/DR26927 ,S16865,General Correspondence,1920 to 1929,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence about arrangements for commemoration of ANZAC Day including railway passes and selling of badges 12 February 1924 to 20 February 1924,ITM2125349,DR26737,https://www.archivessearch.qld.gov.au/api/download_file/DR26737 ,S5402,Inwards and General Correspondence,1920 to 1929,Brisbane City,A40,Premier and Chief Secretarys Department
Correspondence about concerns of Mr. Henschel a citzen of German descent who purchased 300 acres of land at Clump Point Townsville which was a position of considerable strategic importance 2 December 1915 to 19 December 1915,ITM2135947,DR26906,https://www.archivessearch.qld.gov.au/api/download_file/DR26906 ,S5402,Inwards and General Correspondence,1910 to 1919,Townsville City,A112,Chief Secretarys Department
Correspondence about German residents collecting gold for the purpose of establishing a fund for a prosecution of war against the Empire 17 September 1915 to 4 March 1916,ITM2131422,DR26790,https://www.archivessearch.qld.gov.au/api/download_file/DR26790 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about Miss Lidgard requesting her brother Horace Lalor Lidgard be returned to Australia from the Front 22 August 1918 to 18 December 1918,ITM2194007,DR27365,https://www.archivessearch.qld.gov.au/api/download_file/DR27365 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about Mr Tolliday an original Anzac about his difficulty in finding work in Queensland after he lost his job at his work place for not supporting conscription 18 January 1918 to 31 January 1918,ITM2161321,DR27289,https://www.archivessearch.qld.gov.au/api/download_file/DR27289 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about Mrs. Burke requesting her son Lance Corporal G.H. Burke be returned to Australia from France 17 October 1918 to 2 January 1919,ITM2194006,DR27364,https://www.archivessearch.qld.gov.au/api/download_file/DR27364 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about Mrs. M Bell requesting assistance with fares to England so she and her two children could be close to her husband J.E. Bell who enlisted with the Australian Expeditionary Force 21 September 1914 to 21 October 1914,ITM2194005,DR27363,https://www.archivessearch.qld.gov.au/api/download_file/DR27363 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about permission and arrangements for a Childrens Recruiting March to be held on 9 June 1916 in which the March will proceed through the City Streets 2 June 1916 to 7 June 1916,ITM2041775,DR25153,https://www.archivessearch.qld.gov.au/api/download_file/DR25153 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence about permission and arrangements for a procession to commemorate Australia Day 24 August 1917 to 25 August 1917,ITM2041159,DR25144,https://www.archivessearch.qld.gov.au/api/download_file/DR25144 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence about Private E.A. Ryan seeking government assistance in his application for discharge from the Australian Imperial Forces 21 October 1917 to 24 February 1918,ITM2148249,DR26959,https://www.archivessearch.qld.gov.au/api/download_file/DR26959 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about Private W.F Campbell trying to get into the Army Medical Corps as a Dental Mechanic 18 November 1915 to 6 December 1915,ITM2148252,DR26962,https://www.archivessearch.qld.gov.au/api/download_file/DR26962,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about returned soldiers suffering from consumption and the funding for their treatment and accommodation 24 January 1917 to 21 March 1918,ITM2135943,DR26902,https://www.archivessearch.qld.gov.au/api/download_file/DR26902 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about the acquisition of land at West End Townsville for Defence purposes 15 January 1913 to 9 November 1915,ITM2148277,DR26987,https://www.archivessearch.qld.gov.au/api/download_file/DR26987 ,S5402,Inwards and General Correspondence,1910 to 1919,Townsville City,A112,Chief Secretarys Department
Correspondence about the alleged possession of rifles and ammunition by enemy subjects 13 November 1914 to 27 November 1914,ITM1999811,DR24715,https://www.archivessearch.qld.gov.au/api/download_file/DR24715 ,S8400,Special Batches,1910 to 1919,Brisbane City,A123,Home Secretarys Office
Correspondence about the application by Mr W Hartley M.L.A. on behalf of the Anti Conscription Campaign Committee to the Police Department for permits to hold open air meetings 7 December 1917 to 10 December 1917,ITM2039069,DR25121,https://www.archivessearch.qld.gov.au/api/download_file/DR25121 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence about the arrangements for Anzac Day in 1928 2 March 1928 to 11 April 1928,ITM2148285,DR26996,https://www.archivessearch.qld.gov.au/api/download_file/DR26996 ,S16865,General Correspondence,1920 to 1929,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence about the arrest and deportation of Paul Freeman  9 November 1917 to 18 July 1919,ITM1999810,DR24714,https://www.archivessearch.qld.gov.au/api/download_file/DR24714 ,S8400,Special Batches,1910 to 1919,Queensland,A123,Home Secretarys Office
Correspondence about the character of Jurgen F. Iwers of Mackay 24 December 1915 to 31 March 1916,ITM2135941,DR26900,https://www.archivessearch.qld.gov.au/api/download_file/DR26900 ,S5402,Inwards and General Correspondence,1910 to 1919,Mackay Region,A112,Chief Secretarys Department
Correspondence about the Commissioner of Railways agreeing to pay one half of extra charges incurred by Messrs. Stewarts and Lloyds Australia Limited 12 October 1914,ITM2135814,DR26860,https://www.archivessearch.qld.gov.au/api/download_file/DR26860 ,S9790,Hard Batch Series,1910 to 1919,Brisbane City,A366,Railway Department
Correspondence about the conduct of the 28 October 1916 referendum polling at Dunwich 9 November 1916 to 11 January 1917,ITM2124084,DR26726,https://www.archivessearch.qld.gov.au/api/download_file/DR26726 ,S5402,Inwards and General Correspondence,1910 to 1919,Redland City,A112,Chief Secretarys Department
Correspondence about the enlistment of men of Aboriginal descent to the Australian Imperial Force 1 February 1916 to 16 February 1916,ITM2041814,DR25191,https://www.archivessearch.qld.gov.au/api/download_file/DR25191 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about the erection of a recruiting depot in Albert Square 18 May 1918 to 24 May 1918,ITM2041164,DR25149,https://www.archivessearch.qld.gov.au/api/download_file/DR25149 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence about the establishment of a Counter Espionage Bureau in Australia and the subsequent communication arrangements 14 January 1916 to 20 January 1916,ITM2046846,DR25272,https://www.archivessearch.qld.gov.au/api/download_file/DR25272 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about the movement of troops between Queensland and New South Wales  22 June 1917 to 23 August 1917,ITM2187884,DR27337,https://www.archivessearch.qld.gov.au/api/download_file/DR27337 ,S13251,Correspondence,1910 to 1919,Queensland,A19,Justice Department I
Correspondence about the national Anzac Memorial Appeal 26 May 1921 to 8 June 1921,ITM2125378,DR26766,https://www.archivessearch.qld.gov.au/api/download_file/DR26766 ,S14812,Correspondence and Reports,1920 to 1929,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence about the Public Service Rifle Club including the bylaws of the club and various requests regarding shooting practice and rifle ranges 3 November 1914 to 5 June 1915,ITM2041889,DR25237,https://www.archivessearch.qld.gov.au/api/download_file/DR25237 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence about the purchase of horses for defence purposes 20 August 1914 to 28 August 1914,ITM2187868,DR27321,https://www.archivessearch.qld.gov.au/api/download_file/DR27321 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence about the return of Anzacs to Australia and the role of the Governor in the March Pasts to be held in capital cities 14 November 1918 to 22 November 1918,ITM2111739,DR26416,https://www.archivessearch.qld.gov.au/api/download_file/DR26416 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Correspondence about the State Recruiting Committee having permission to show war pictures and hold recruiting meetings outside the Brisbane General Post Office 18 January 1918 to 21 January 1918,ITM2041165,DR25150,https://www.archivessearch.qld.gov.au/api/download_file/DR25150 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence about The Succession and Probate Duties Acts Amendment Act of 1915 exempting death duties of persons who die in military and naval service during the war 26 October 1915 to 29 November 1915,ITM2148251,DR26961,https://www.archivessearch.qld.gov.au/api/download_file/DR26961 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about the suspension of a hotel license at Kureen for the duration of the war 5 December 1917 to 18 December 1917,ITM2131411,DR26779,https://www.archivessearch.qld.gov.au/api/download_file/DR26779 ,S5263,General Correspondence,1910 to 1919,Tablelands Region,A123,Home Secretarys Office
Correspondence about the use of the term Anzac on buildings and in particular the Anzac Memorial Methodist Church at Indooroopilly 1 November 1916 to 28 September 1917,ITM2047009,DR25303,https://www.archivessearch.qld.gov.au/api/download_file/DR25303 ,S1139,Official Correspondence,1910 to 1919,Brisbane City,A910,Office of the Governor of Queensland
Correspondence about the whereabouts of Norman Travers Simpkin an American who enlisted in the AIF in Queensland 27 July 1914 to 21 September 1914,ITM2110579,DR26346,https://www.archivessearch.qld.gov.au/api/download_file/DR26346 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence about and from G.J.R. Butler C.F.W Vieritz and R. Vieritz citizens of German decent seeking permission to leave Australia for the United States of America for the purpose of an ingathering 15 March 1916 to 12 April 1916,ITM2135942,DR26901,https://www.archivessearch.qld.gov.au/api/download_file/DR26901 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence and police report regarding an alleged disloyalty claim about W. G. Greisheimen from Leyburn 10 December 1914 to 16 December 1914,ITM2182273,DR27297,https://www.archivessearch.qld.gov.au/api/download_file/DR27297 ,S5402,Inwards and General Correspondence,1910 to 1919,Toowoomba Region,A112,Chief Secretarys Department
Correspondence and the district inspectors report about an inquiry held at Richmond Hill State School in connection with a mock referendum held at the school 26 October 1916 to 11 April 1917,ITM2048516,DR25442,https://www.archivessearch.qld.gov.au/api/download_file/DR25442 ,S12607,School Files Correspondence for State Schools,1910 to 1919,Charters Towers Region,A32,Public Instruction Department
Correspondence between Chief Secretarys Office and The Prime Ministers Office about men who trained as officers that are being sent away as privates 12 March 1918 to 11 April 1918,ITM2131415,DR26783,https://www.archivessearch.qld.gov.au/api/download_file/DR26783 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence between Lieutenant Colonel Stodart Second Australian Light Horse Cairo Egypt and Mr Denham Premier of Queensland about Christmas and New Year greetings 29 December 1914,ITM2041886,DR25234,https://www.archivessearch.qld.gov.au/api/download_file/DR25234 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence between Mrs Jeanie G. OKane and the Private Secretary to the Governor in regards to claiming a pension from the loss of her daughter Second Lieutenant Rosa OKane Australian Army Nursing Service 6 June 1919 - 14 July 1919,ITM2107261,DR26118,https://www.archivessearch.qld.gov.au/api/download_file/DR26118 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Correspondence between Queensland War Council the Private Secretary to the Governor and Mrs. J. F. Crozier in regards to an application for an Anzac Cottage in Beaudesert 8 December 1917 to 13 March 1918,ITM2119771,DR26707,https://www.archivessearch.qld.gov.au/api/download_file/DR26707 ,S1139,Official Correspondence,1910 to 1919,Scenic Rim Region,A910,Office of the Governor of Queensland
Correspondence between the Agent General London and the Chief Secretarys Office about Christmas gifts for Queensland soldiers in Gallipoli and Flanders 15 November 1915 to 15 December 1915,ITM2041787,DR25165,https://www.archivessearch.qld.gov.au/api/download_file/DR25165 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
