Caption / Title,Item ID,Digital Image ID,Digital Image Source ID,Series ID,Series Title,Coverage Temporal,Coverage Place,Creating Agency ID,Creating Agency Title
Correspondence from Emily Ross to the Commissioner of Police accusing Edward Woolman of misconduct and cowardice 20 August 1914 to 28 August 1914,ITM2187869,DR27322,https://www.archivessearch.qld.gov.au/api/download_file/DR27322 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence from organisations expressing their support for the Governor of Queensland or for Hon J.A. Fihelly M.L.A. in connection with a speech Mr Fihelly made at the Queensland Irish Club 15 October 1916 - 16 January 1917,ITM2125344,DR26733,https://www.archivessearch.qld.gov.au/api/download_file/DR26733 ,S5402,Inwards and General Correspondence,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence from The Australasian Society of America about the United States of Americas proclamation of Neutrality and the enlistment of Australians and New Zealanders residing in the United States of America 22 October 1914 to 2 November 1914,ITM2119774,DR26709,https://www.archivessearch.qld.gov.au/api/download_file/DR26709 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence from The Central Committee for the national Patriotic Organisation in regards to public meetings and the Anniversary of the Declaration of War 17 August 1916 to 1 May 1918,ITM2111950,DR26626,https://www.archivessearch.qld.gov.au/api/download_file/DR26626 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Correspondence from the General Traffic Superintendent and the Assistant Director of Railway Transport regarding the special trains conveying troops and horses to Liverpool 9 December 1914,ITM2148301,DR27019,https://www.archivessearch.qld.gov.au/api/download_file/DR27019 ,S9790,Hard Batch Series,1910 to 1919,Queensland,A366,Railway Department
Correspondence from the Prime Minister of Australias office conveying appreciation for the services performed by the Queensland Commissioner of Police and serving police officers during the war period,ITM2148268,DR26978,https://www.archivessearch.qld.gov.au/api/download_file/DR26978 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence from the Returned Sailors and Soldiers Imperial League Queensland Branch to the Governor asking to transmit a message of loyalty to His Majesty the King 1 December 1917 to 3 December 1917,ITM2119773,DR26708,https://www.archivessearch.qld.gov.au/api/download_file/DR26708 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Correspondence including copies and translations of telegrams and press cuttings about Christmas messages to Queensland soldiers 22 December 1915 to 18 January 1916,ITM2046847,DR25273,https://www.archivessearch.qld.gov.au/api/download_file/DR25273 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence including copy and translation of telegrams about the exchange of Australians interned in Germany for Germans interned in Australia 30 June 1915 to 3 July 1916,ITM2046844,DR25270,https://www.archivessearch.qld.gov.au/api/download_file/DR25270 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence initiated by the Central Queensland Patriotic Fund about the location of missing soldiers at Gallipoli 4 October 1915 to 15 November 1915,ITM2041815,DR25192,https://www.archivessearch.qld.gov.au/api/download_file/DR25192 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence initiated by the Coorparoo Shire Council making suggestions to stimulate recruiting 31 May 1916 to 27 July 1916,ITM2041817,DR25194,https://www.archivessearch.qld.gov.au/api/download_file/DR25194 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence initiated from the Ipswich Patriotic association about a special Christmas offering to Her Majesty the Queen,ITM2041887,DR25235,https://www.archivessearch.qld.gov.au/api/download_file/DR25235 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence instigated by a letter to Hon Mr Ryan from Mrs Catherine McDonald about the availability of her son Sergeant C.H. McDonald to assist with farm work 22 December 1916 to 12 January 1917,ITM2124087,DR26729,https://www.archivessearch.qld.gov.au/api/download_file/DR26729 ,S5402,Inwards and General Correspondence,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence instigated by a letter to the British Consul from Mrs Sarah Annie Wilson about the whereabouts of her husband Henry Wilson 20 October 1916 to 15 January 1917,ITM2125347,DR26736,https://www.archivessearch.qld.gov.au/api/download_file/DR26736 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence involving the Queensland Patriotic Fund and Queensland War Council the organiser of Queensland Heroes Day about the allocation and dissemination of funds raised 14 February 1918 - 6 July 1918,ITM1839170,DR24650,https://www.archivessearch.qld.gov.au/api/download_file/DR24650 ,S16753,Queensland War Council Miscellaneous Files,1910 to 1919,Queensland,A1674,Queensland War Council
Correspondence on the distribution of Patriotic funds to purchase four travelling kitchens for the war effort with particular mention of them being sent to Egypt for use 6 to 8 June 1915,ITM1994553,DR24656,https://www.archivessearch.qld.gov.au/api/download_file/DR24656 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Correspondence outlining concerns and responses about verification that relief for Belgians is being received by the civilians 27 February 1915 to 16 March 1915,ITM2046862,DR25278,https://www.archivessearch.qld.gov.au/api/download_file/DR25278 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence outlining His Majesty the Kings Anzac Day Message 1916 and details about the commissioning of the inscription of a marble tablet with this message 12 April 1916 to 19 May 1916,ITM2046826,DR25254,https://www.archivessearch.qld.gov.au/api/download_file/DR25254 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Correspondence outlining the roles of the Red Cross Society and the Queensland Patriotic Fund regarding comforts for the troops 8 October 1915 to 1 December 1915,ITM2041785,DR25163,https://www.archivessearch.qld.gov.au/api/download_file/DR25163 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence re Nurses seeking out information about joining and volunteering for active service 7 April 1915 to 29 September 1915,ITM1999836,DR25104,https://www.archivessearch.qld.gov.au/api/download_file/DR25104 ,S5263,General Correspondence,1910 to 1919,Queensland,A123,Home Secretarys Office
Correspondence regarding censored mail from Helmuth Axel Fredrich Bernhard Kortum J.P Surgeon from Cooktown to Miss M. Kortum his sister co Mr Kortum Magistrate in Waren,ITM1988131,DR24553,https://www.archivessearch.qld.gov.au/api/download_file/DR24553 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence regarding donations made by the Red Cross Society of Queensland to Lady Dudleys Field Hospital and Belgian Hospitals October to December 1914,ITM1993662,DR24564,https://www.archivessearch.qld.gov.au/api/download_file/DR24564 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,South East Queensland,A112,Chief Secretarys Department
Correspondence regarding pastoral companies donating to the war effort 4 September 1914,ITM1988385,DR24556,https://www.archivessearch.qld.gov.au/api/download_file/DR24556 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence regarding Peter Putivtsoff applying for a passport and a Commissioner of Police memorandum about the refusal of visas for Russian passports 18 August 1916 to 1 OCtober 1918,ITM2131400,DR26772,https://www.archivessearch.qld.gov.au/api/download_file/DR26772 ,S16865,General Correspondence,1910 to 1919,Hinchinbrook Shire,A1521,Police Department Police Service Commissioners Office
Correspondence regarding telegraphic arrangements for week-end and free messages 6 January 1915 to 9 January 1915,ITM2187879,DR27332,https://www.archivessearch.qld.gov.au/api/download_file/DR27332 ,S9790,Hard Batch Series,1910 to 1919,Queensland,A366,Railway Department
Correspondence regarding the continuation of the T.B. Housing Scheme and allocation of funds from the Golden Casket funds 27 November 1929 to 6 December 1929,ITM2105355,DR26099,https://www.archivessearch.qld.gov.au/api/download_file/DR26099 ,S6773,Anzac Workers Committee Correspondence,1920 to 1929,Queensland,A1674,Queensland War Council
Correspondence regarding the country of origin of consular representatives based in the State of Queensland 1914,ITM1988132,DR24554,https://www.archivessearch.qld.gov.au/api/download_file/DR24554 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence regarding the details and payment of foodstuff shipped by the Queensland Patriotic Fund and the  Brisbane Newspaper Co Courier Patriotic Fund 20 March 1915 to 5 May 1915,ITM1999835,DR25103,https://www.archivessearch.qld.gov.au/api/download_file/DR25103 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence regarding the discharge of consular representatives of unfriendly powers due to the outbreak of the war 11 August 1914 to 14 August 1914,ITM1999828,DR25096,https://www.archivessearch.qld.gov.au/api/download_file/DR25096 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.1 Hymettus 15 September 1915 to 19 September 1915,ITM2193963,DR27344,https://www.archivessearch.qld.gov.au/api/download_file/DR27344 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.15 Star of England 7 April 1915 to 8 April 1915,ITM2193996,DR27354,https://www.archivessearch.qld.gov.au/api/download_file/DR27354 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.26 Armadale 15 September 1915 to 20 September 1915,ITM2193964,DR27345,https://www.archivessearch.qld.gov.au/api/download_file/DR27345,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.30 Borda 15 June 1915 to 18 June 1915,ITM2193991,DR27349,https://www.archivessearch.qld.gov.au/api/download_file/DR27349 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.36 Melbourne 24 June 1915 to 26 June 1915,ITM2193990,DR27348,https://www.archivessearch.qld.gov.au/api/download_file/DR27348 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.48 Seang Bee 15 October 1915 to 22 October 1915,ITM2193961,DR27342,https://www.archivessearch.qld.gov.au/api/download_file/DR27342 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.50 Itonus 30 December 1915 to 31 December 1915,ITM2193960,DR27341,https://www.archivessearch.qld.gov.au/api/download_file/DR27341 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.55 Kyarra 12 August 1915 to 17 August 1915,ITM2193965,DR27346,https://www.archivessearch.qld.gov.au/api/download_file/DR27346 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.55 Kyarra 13 April 1915 to 16 April 1915,ITM2193995,DR27353,https://www.archivessearch.qld.gov.au/api/download_file/DR27353 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.55 Kyarra 2 January 1916 to 5 January 1916,ITM2193959,DR27340,https://www.archivessearch.qld.gov.au/api/download_file/DR27340 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.60 Aeneas 24 June 1915 to 29 June 1915,ITM2193966,DR27347,https://www.archivessearch.qld.gov.au/api/download_file/DR27347 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.62 Wandilla 1 February 1916 to 4 February 1916,ITM2191387,DR27339,https://www.archivessearch.qld.gov.au/api/download_file/DR27339 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.63 Karoola 9 June 1915 to 15 June 1915,ITM2193992,DR27350,https://www.archivessearch.qld.gov.au/api/download_file/DR27350 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard the Transports A.13 Katuna and A.69 Warilda 1 October 1915 to 6 October 1915,ITM2193962,DR27343,https://www.archivessearch.qld.gov.au/api/download_file/DR27343 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard the Transports A.25 Anglo Egyptian A.5 Omrah A.22 Rangatira and A.15 Star of England 10 September 1914 to 12 October 1914,ITM2194175,DR24338,https://www.archivessearch.qld.gov.au/api/download_file/DR24338 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the embarkation of troops at Pinkenba aboard Transport A73 Commonwealth 29 March 1916,ITM2191386,DR27338,https://www.archivessearch.qld.gov.au/api/download_file/DR27338 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence regarding the procedure for issuing death certificates for members of the Australian Imperial Force who are killed in action 26 May 1915 to 29 June 1915,ITM2041890,DR25238,https://www.archivessearch.qld.gov.au/api/download_file/DR25238 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence regarding the Queensland Patriotic Fund making a donation to the Belgium relief Fund for distressed Belgians 25 August 1914,ITM1988384,DR24555,https://www.archivessearch.qld.gov.au/api/download_file/DR24555 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence regarding the sale and marketing of Australian Butter in Great Britain 12 January 1917 to 30 March 1917,ITM2135938,DR26895,https://www.archivessearch.qld.gov.au/api/download_file/DR26895 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence regarding the status of naturalised Germans and Austrians having to report to police on a weekly basis 12 October 1914 to 6 November 1914,ITM1999830,DR25098,https://www.archivessearch.qld.gov.au/api/download_file/DR25098 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence regarding when and if Mr Sigismund Henlein Vice-Consul for the Netherlands at Townsville was naturalised by the Queensland Government,ITM1993423,DR24563,https://www.archivessearch.qld.gov.au/api/download_file/DR24563 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence relating to prisoners of war with instructions on details to be captured by police when a prisoner of war makes their weekly report 15 January 1915 to 20 April 1915,ITM1999832,DR25100,https://www.archivessearch.qld.gov.au/api/download_file/DR25100 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence relating to the requisition of sea vessels for use in the war effort 29 September to 6 November 1914,ITM1994521,DR24570,https://www.archivessearch.qld.gov.au/api/download_file/DR24570 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence supplying lists of enlistments accepted and rejected and returned soldiers employed in the Home Secretarys Department 15 October 1917 to 29 October 1917,ITM1999814,DR24760,https://www.archivessearch.qld.gov.au/api/download_file/DR24760 ,S8400,Special Batches,1910 to 1919,South East Queensland,A123,Home Secretarys Office
Correspondence supplying lists of returned soldiers and enlistments employed in the Home Secretarys Department 9 February 1918 to 21 June 1918,ITM1999813,DR24759,https://www.archivessearch.qld.gov.au/api/download_file/DR24759 ,S8400,Special Batches,1910 to 1919,South East Queensland,A123,Home Secretarys Office
Correspondence supplying lists of returned soldiers employed in the Home Secretarys Department 7 February 1922 to 23 February 1922,ITM1999819,DR24869,https://www.archivessearch.qld.gov.au/api/download_file/DR24869 ,S8400,Special Batches,1910 to 1919,Brisbane City,A123,Home Secretarys Office
Correspondence supplying numbers of enlistments numbers killed  numbers returned and  numbers who have won distinction employed in the Home Secretarys Department 2 February 1917 to 31 August 1917,ITM1999820,DR24870,https://www.archivessearch.qld.gov.au/api/download_file/DR24870 ,S8400,Special Batches,1910 to 1919,Brisbane City,A123,Home Secretarys Office
Correspondence to and from the Agent General London and the Chief Secretarys Office about the safety of Herman Hertzberg 17 May 1915 to 19 May 1915,ITM2046860,DR25276,https://www.archivessearch.qld.gov.au/api/download_file/DR25276 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence to and from the Assistant Director of Railway Transport about members of rifle clubs being mobilised for the defence of Thursday Island 4 August 1914 to 5 August 1914,ITM2148294,DR27012,https://www.archivessearch.qld.gov.au/api/download_file/DR27012 ,S9790,Hard Batch Series,1910 to 1919,Queensland,A366,Railway Department
Correspondence to and from the Assistant Director of Railway Transport about the conveyance of baggage and vehicles for the Australian Imperial Force 20 September 1914 to 21 September 1914,ITM2148291,DR27009,https://www.archivessearch.qld.gov.au/api/download_file/DR27009 ,S9790,Hard Batch Series,1910 to 1919,Queensland,A366,Railway Department
Correspondence to and from the Chief Secretarys Office about the supply of drink to members of the Australian Imperial Force 5 August 1915 to 15 October 1915,ITM2041790,DR25168,https://www.archivessearch.qld.gov.au/api/download_file/DR25168 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence to and from the Chief Secretarys Office Brisbane about the ceasing of operations of the central Quensland Patriotic Fund 25 September 1918 to 16 September 1919,ITM2109304,DR26153,https://www.archivessearch.qld.gov.au/api/download_file/DR26153 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,An/a,n/a
Correspondence to and from the Chief Secretarys Office Brisbane forwarding and acknowledging receipt of 2 permanent railway platform passes for the Premier of Queensland 11 March 1916 to 19 March 1916,ITM2109109,DR26145,https://www.archivessearch.qld.gov.au/api/download_file/DR26145 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,An/a,n/a
Correspondence to and from the Chief Secretarys Office Brisbane from a number of Chambers of Commerce expressing concern about the employment of aliens in government positions 30 October 1914 - 19 February 1915,ITM2046867,DR25283,https://www.archivessearch.qld.gov.au/api/download_file/DR25283 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence to and from the Department of Public Instruction about the resumption of duty of a soldier-teacher Angus Garnet Aitchison 29 November 1920 to 17 December 1920,ITM2046875,DR25290,https://www.archivessearch.qld.gov.au/api/download_file/DR25290 ,S12607,School Files Correspondence for State Schools,1920 to 1929,Brisbane City,A32,Public Instruction Department
Correspondence to and from the Department of Public Instruction regarding various First World War matters about Robert Lincoln Whitten from Parker State School 7 January 1916 to 1 October 1919,ITM2187877,DR27330,https://www.archivessearch.qld.gov.au/api/download_file/DR27330 ,S12607,School Files Correspondence for State Schools,1910 to 1919,Queensland,A32,Public Instruction Department
Correspondence to and from the Governor of Queensland about a resolution passed at a public meeting of Brisbane citizens in connection with the third anniversary of the outbreak of war 6 August 1917 - 13 October 1917,ITM2047004,DR25298,https://www.archivessearch.qld.gov.au/api/download_file/DR25298 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Correspondence to and from the Governor of Queensland about a resolution passed by the Returned Soldiers and Patriots national Political League at an Indignation Meeting 20 October 1917 to 16 November 1917,ITM2047003,DR25297,https://www.archivessearch.qld.gov.au/api/download_file/DR25297 ,S1139,Official Correspondence,1910 to 1919,Brisbane City,A910,Office of the Governor of Queensland
Correspondence to and from the Governor of Queensland about the question of employing British Indians in the Queensland sugar industry 28 September 1915 to 18 September 1916,ITM2046828,DR25256,https://www.archivessearch.qld.gov.au/api/download_file/DR25256 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Correspondence to and from the Home Secretarys Office Brisbane about Mr A.J. Ross and his connection with anti-conscription leaflets 4 October 1916 to 25 November 1916,ITM2135945,DR26904,https://www.archivessearch.qld.gov.au/api/download_file/DR26904 ,S5263,General Correspondence,1910 to 1919,Brisbane City,A123,Home Secretarys Office
Correspondence to and from the Queensland Recruiting Committee regarding arrangements for speakers to join the recruiting trains 5 August 1915 to 6 August 1915,ITM2148303,DR27021,https://www.archivessearch.qld.gov.au/api/download_file/DR27021 ,S9790,Hard Batch Series,1910 to 1919,Brisbane City,A366,Railway Department
Correspondence to and from the Secretary Commissioner of Railways regarding the cost involved in checking telegraph lines 1 October 1915 to 6 October 1915,ITM2187881,DR27334,https://www.archivessearch.qld.gov.au/api/download_file/DR27334 ,S9790,Hard Batch Series,1910 to 1919,Queensland,A366,Railway Department
Correspondence to and from the the Premiers Office about assisting Private Bellamys family 24 January 1918 to 8 February 1918,ITM2161323,DR27291,https://www.archivessearch.qld.gov.au/api/download_file/DR27291 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence to ensure change of address for H. Bowden Fletcher J.P. is noted by the Justice and Chief Secretarys Departments 23 January 1915 to 2 February 1915,ITM2140140,DR26940,https://www.archivessearch.qld.gov.au/api/download_file/DR26940 ,S5402,Inwards and General Correspondence,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence to the Commissioner of Police Brisbane regarding Circular Memorandum No. 888 and instructions for the internment and treatment of Aliens,ITM1999824,DR25074,https://www.archivessearch.qld.gov.au/api/download_file/DR25074 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Correspondence to the Premier Hon T.J. Ryan from Private David Crosby about his imprisonment and follow up correspondence regarding the same issue 30 December 1915 to 17 January 1916,ITM2041784,DR25162,https://www.archivessearch.qld.gov.au/api/download_file/DR25162 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence to the Premier T. J. Ryan from the Over-seas Club Toowoomba Branch discussing the advantages and establishment of wool and hide manufacturing in Queensland 30 September 1914 to 12 October 1914,ITM2187882,DR27335,https://www.archivessearch.qld.gov.au/api/download_file/DR27335 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence to the Private Secretary of the Governor from the Under Secretary of the Chief Secretarys Office providing a corrected copy of the Governors speech and the Addresses in reply on the occasion of the opening of Parliament 22 August 1916,ITM2046827,DR25255,https://www.archivessearch.qld.gov.au/api/download_file/DR25255 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Cover release and affidavit verifying sale included in the ecclesiastical file of Lorenzo Bucca a soldier killed in action in 1917 when in the Italian army but formerly of Lannercost near Ingham 1922,ITM2131407,DR26775,https://www.archivessearch.qld.gov.au/api/download_file/DR26775 ,S6220,Ecclesiastical Files,1920 to 1929,Hinchinbrook Shire,A4628,Supreme Court of Queensland
Dardanelles Estate Map Cannon Hill 21 August 1915,ITM2105351,DR26095,https://www.archivessearch.qld.gov.au/api/download_file/DR26095 ,S6773,Anzac Workers Committee Correspondence,1910 to 1919,Brisbane City,A1674,Queensland War Council
Description of area of land to be surrendered by the Commonwealth and dedicated by the State for the Anzac Memorial Square 9 April 1927,ITM2057072,DR25868,https://www.archivessearch.qld.gov.au/api/download_file/DR25868 ,S17925,Reserve Files,1920 to 1929,Queensland,A18,Lands Department
Despatch Dominions No 468 containing a Proclamation by the King declaring the use of the name of Windsor and the relinquishment of all German titles and dignities 23 July 1917,ITM2047012,DR25306,https://www.archivessearch.qld.gov.au/api/download_file/DR25306 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Despatch Dominions No 485 providing a list of prohibited goods for exportation revised to 13 July 1917 from the United Kingdom 26 July 1917,ITM2047011,DR25305,https://www.archivessearch.qld.gov.au/api/download_file/DR25305 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Detailed list of foodstuffs sent by Brisbane Newspaper Company Limited and correspondence relating to insurance against war risk on the shipments 22 August to 15 September 1914,ITM1994557,DR24658,https://www.archivessearch.qld.gov.au/api/download_file/DR24658 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,An/a,n/a
Details of temporary diversion of traffic for march of troops on Saturday 13 November 1915,ITM1834916,DR24037,https://www.archivessearch.qld.gov.au/api/download_file/DR24037 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Draft of recruiting flyer showing corrections circa 1915,ITM2046842,DR25268,https://www.archivessearch.qld.gov.au/api/download_file/DR25268 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
European war marriage of naturalised women of enemy origin to alien enemies 7 June 1918 to 11 June 1918,ITM319354,DR24551,https://www.archivessearch.qld.gov.au/api/download_file/DR24551 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
European war:  flag and badge day correspondence seeking permission from police department to set up stalls within Brisbane city to sell flags and badges to raise money for the patriotic fund 18 August 1914 to 22 August 1914,ITM319258,DR24552,https://www.archivessearch.qld.gov.au/api/download_file/DR24552 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Excerpt form workers dwelling loan register - page 231 11 February 1920 to 13 February 1920,ITM2048517,DR25470,https://www.archivessearch.qld.gov.au/api/download_file/DR25470 ,S3962,Workers Dwelling Loan Registers,1920 to 1929,Queensland,A1664,Queensland Government Savings Bank
Excerpt from book of circulars including information about the observance of Wattle Day and Frances Day July 1917,ITM2135940,DR26899,https://www.archivessearch.qld.gov.au/api/download_file/DR26899 ,S6400,Books of Circulars,1910 to 1919,Brisbane City,A32,Public Instruction Department
Excerpt from book of circulars including instructions about the school commemoration of Anzac Day and the appeal for voluntary national Service April 1916,ITM2135939,DR26898,https://www.archivessearch.qld.gov.au/api/download_file/DR26898 ,S6400,Books of Circulars,1910 to 1919,Brisbane City,A32,Public Instruction Department
Excerpt from the correspondence of Secretary of State for the Colonies to the Chief Secretary containing a copy of a Supplement to The London Gazette where a state of war is declared 5 August 1914,ITM2110576,DR26344,https://www.archivessearch.qld.gov.au/api/download_file/DR26344 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Exhibit outlining the complaint of Cyril Norman Wood about Thomas Joseph Ryan making a false statement that could affect the judgment of Referendum voters 29 November 1917,ITM2119768,DR26704,https://www.archivessearch.qld.gov.au/api/download_file/DR26704 ,S13274,Briefs and Associated Papers,1910 to 1919,Brisbane City,A19,Justice Department 
Extract from Daily Mail outlining the constitution of the Queensland Patriotic Fund 25 August 1914,ITM2041788,DR25166,https://www.archivessearch.qld.gov.au/api/download_file/DR25166 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Extract of the Affidavit of Executors of the will and codicil of George Fewtrell which includes statement by executors that no beneficiary or creditor is an alien enemy of the British Crown 16 December 1914,ITM2105342,DR26086,https://www.archivessearch.qld.gov.au/api/download_file/DR26086 ,S4486,Ecclesiastical Files,1910 to 1919,Queensland,A191,Supreme Court Southern District Brisbane
Extract of the Affidavit of Executors of the will of Gaal Lampard otherwise known as Susanah Gaal Lampard which includes statement by executors that no beneficiary or creditor is German or Austro Hungarian wherever resident 17 December 1914,ITM2105343,DR26087,https://www.archivessearch.qld.gov.au/api/download_file/DR26087 ,S4486,Ecclesiastical Files,1910 to 1919,Queensland,A191,Supreme Court Southern District Brisbane
