Item ID,Description,Start date,End date,Series ID,Series,Source
794185,HIGHFIELDS State School,1970-04-14,1970-04-16,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794185
794186,HIGHFIELDS State School,1971-04-16,1971-04-20,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794186
794187,HIGHFIELDS State School,1972-06-04,1972-07-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794187
794188,HILLVIEW State School,1970-04-20,1970-04-21,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794188
794189,HILLVIEW State School,1971-04-29,1971-04-30,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794189
794190,HILLVIEW State School,1973-01-05,1973-02-05,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794190
794191,HOLLAND PARK State School,1970-06-22,1970-06-29,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794191
794192,HOLLAND PARK State School,1971-08-27,1971-08-27,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794192
794193,HOLLAND PARK State School,1972-03-07,1972-05-07,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794193
794194,HOLLAND PARK State High School,1972-03-22,1972-03-24,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794194
794195,HOLLAND PARK State High School,1973-04-06,1973-06-06,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794195
794196,"HOLY CROSS Convent School, MILES",1973-07-08,1973-08-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794196
794197,"HOLY CROSS Convent School, WOOLOOWIN",1970-09-15,1970-09-23,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794197
794198,"HOLY CROSS Convent School, WOOLOOWIN",1972-07-11,1972-09-11,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794198
794199,"HOLY FAMILY Convent School, GULLIVER",1970-09-29,1970-02-10,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794199
794200,"HOLY FAMILY Convent School, GULLIVER",1972-09-26,1972-09-29,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794200
794201,"HOLY FAMILY Convent School, INDOOROOPILLY",1973-03-19,1973-03-21,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794201
