id,Amount,Created (UTC),Currency,Livemode,Arrival Date (UTC),Source Type,Destination,Status,Type,Method,Description,Balance Transaction,Failure Balance Transaction,Failure Message,Failure Code,Statement Descriptor,Trace ID,Trace ID Status,Destination Name,Destination Country,Destination Last 4
po_1TWzqES4D20Qoe6MZHiEicT7,1020.98,2026-05-14 14:02,aud,true,2026-05-15 00:00,card,ba_1Rg1BsS4D20Qoe6MbXxXg2Rw,paid,bank_account,standard,STRIPE PAYOUT,txn_1TWzqES4D20Qoe6M7kcCAqjB,,,,,STRIPE-4fW154ZoIlS,supported,CBA,AU,9316
po_1TUSWxS4D20Qoe6MoSZS0Zgk,824.77,2026-05-07 14:03,aud,true,2026-05-08 00:00,card,ba_1Rg1BsS4D20Qoe6MbXxXg2Rw,paid,bank_account,standard,STRIPE PAYOUT,txn_1TUSWxS4D20Qoe6MtD23zLi8,,,,,STRIPE-nCQranyUBmU,supported,CBA,AU,9316
po_1TPNseS4D20Qoe6MG3myZlEj,579.08,2026-04-23 14:05,aud,true,2026-04-24 00:00,card,ba_1Rg1BsS4D20Qoe6MbXxXg2Rw,paid,bank_account,standard,STRIPE PAYOUT,txn_1TPNseS4D20Qoe6M1fuX6i1a,,,,,STRIPE-5Y3hlLj876x,supported,CBA,AU,9316
po_1TOes9S4D20Qoe6MP1uSNErQ,1138.82,2026-04-21 14:01,aud,true,2026-04-22 00:00,card,ba_1Rg1BsS4D20Qoe6MbXxXg2Rw,paid,bank_account,standard,STRIPE PAYOUT,txn_1TOes9S4D20Qoe6MHLQRhLAi,,,,,STRIPE-GAnrfhM033T,supported,CBA,AU,9316
po_1TBxHRS4D20Qoe6MRwX8ZFD9,652.73,2026-03-17 13:03,aud,true,2026-03-18 00:00,card,ba_1Rg1BsS4D20Qoe6MbXxXg2Rw,paid,bank_account,standard,STRIPE PAYOUT,txn_1TBxHSS4D20Qoe6MgiiKQXJw,,,,,STRIPE-2qCcQRKUsfI,supported,CBA,AU,9316
po_1T8gwbS4D20Qoe6M53auGvbt,652.73,2026-03-08 13:00,aud,true,2026-03-09 00:00,card,ba_1Rg1BsS4D20Qoe6MbXxXg2Rw,paid,bank_account,standard,STRIPE PAYOUT,txn_1T8gwcS4D20Qoe6MDBUCm3t4,,,,,STRIPE-k8DJY8ienhT,supported,CBA,AU,9316
